,Name,Genre
342,Animal Crossing: Wild World,6
343,Animal Genius,2
344,Animal Kingdom: Wildlife Expedition,10
345,Animal Paradise,10
346,Animal Planet: Emergency Vets,10
347,Animal Planet: Vet Collection,10
348,Animal Planet: Vet Life,11
349,Animaniacs Ten Pin Alley,5
350,Animaniacs: The Great Edgar Hunt,1
351,Animorphs: Shattered Reality,10
352,Anno 1701: Dawn of Discovery,12
353,Anno 2070,12
354,Anno 2205,1
355,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,2
356,Another Code R: A Journey into Lost Memories,1
357,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,10
358,Ant Nation,8
359,Antiphona no Seikahime: Tenshi no Gakufu Op.A,7
360,Antz Extreme Racing,5
361,Anubis II,1
362,Ao no Exorcist: Genkoku no Labyrinth,2
363,Ao no Kanata no Four Rhythm,2
364,Aoishiro,10
365,Apache: Air Assault,10
366,Apassionata: Die Galanacht der Pferde,5
367,Ape Escape,5
368,Ape Escape 2,5
369,Ape Escape 3,4
370,Ape Escape Academy,4
371,Ape Escape Academy (jp sales),5
372,Ape Escape: On the Loose,4
373,Ape Escape: Pumped & Primed,7
374,Apex,1
375,Apocalypse,2
376,Apollo Justice: Ace Attorney,6
377,Aqua Aqua,6
378,Aqua Panic!,7
379,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,1
380,Aquaman: Battle for Atlantis,2
381,Aquanaut's Holiday,2
382,Aquanaut's Holiday: Kakusareta Kiroku,3
383,Aquapazza: Aquaplus Dream Match,10
384,Aquarium by DS,8
385,Ar Nosurge: Ode to an Unborn Star,8
386,Ar tonelico 2: Melody of Metafalica,8
387,Ar tonelico Qoga: Knell of Ar Ciel,8
388,Ar tonelico: Melody of Elemia,2
389,Arabians Lost: The Engagement on Desert,8
390,Arc Rise Fantasia,8
391,Arc the Lad,8
392,Arc the Lad II,8
393,Arc the Lad III,8
394,Arc the Lad: End of Darkness,8
395,Arc the Lad: Twilight of the Spirits,1
396,Arcade Hits: Frisky Tom,4
397,Arcade Party Pak,9
398,Arcade Shooting Gallery,4
399,Arcade Zone,2
400,Arcana Famiglia 2,2
401,Arcana Famiglia: La storia della Aracana Famiglia,1
402,Arcana Famiglia: Vascello Phantasma no Majutsushi,3
403,Arcana Heart,3
404,Arcana Heart 3,8
405,Arcania: Gothic 4,11
406,Archer Maclean Presents: Pool Paradise,4
407,Archer Maclean's 3D Pool,6
408,Archer Maclean's Mercury,2
409,Arctic Tale,7
410,Arctic Thunder,2
411,Are You Alice?,4
412,Are You Smarter Than A 5th Grader?,4
413,Are You Smarter Than a 5th Grader? Back to School,6
414,Are You Smarter than a 5th Grader? Game Time,4
415,Are You Smarter than a 5th Grader? Make the Grade,9
416,Area 51,11
417,Arena Football,2
418,Aria: The Natural ~Tooi Yume no Mirage~,2
419,Aria: The Origination ~Aoi Wakusei no El Cielo~,6
420,Arkanoid DS,9
421,ArmA II,9
422,ArmA III,9
423,Armed and Dangerous,1
424,Armor Ambush,10
425,Armored Core,10
426,Armored Core 2,10
427,Armored Core 2: Another Age,10
428,Armored Core 3,10
429,Armored Core 3 Portable,10
